branch,ytd
Harold Washington Library Center,7498041
Sulzer Regional,5089225
Lincoln Belmont,1850964
Edgewater,1668693
Logan Square,1539816
Rogers Park,1515964
Bucktown-Wicker Park,1456669
Lincoln Park,1441173
Austin-Irving,1359700
Bezazian,1357922
Northtown,1342162
Budlong Woods,1310179
Near North,1307991
Chinatown,1254240
Blackstone,1229306
Edgebrook,1198611
Merlo,1088232
Albany Park,1024714
Uptown,1006576
Oriole Park,986634
Jefferson Park,971132
West Belmont,936633
Portage-Cragin,931895
West Town,922876
Toman,845699
Woodson Regional,823793
McKinley Park,823340
Roden,818842
Independence,813331
"Daley, Richard J. - Bridgeport",803229
Archer Heights,803014
Mount Greenwood,782750
Beverly,741816
Little Village,719817
Garfield Ridge,712455
Dunning,706114
Humboldt Park,684816
Brighton Park,663572
Mayfair,640104
Lozano,635644
West Lawn,633908
Roosevelt,564923
Avalon,521328
Vodak-East Side,512780
Clearing,504609
Chicago Lawn,483963
Water Works,472069
North Pulaski,461055
"Daley, Richard M. - W Humboldt",449132
Scottsdale,403247
South Shore,375423
Coleman,363101
South Chicago,345879
King,333261
Back of the Yards,319410
Thurgood Marshall,316292
Hegewisch,310291
Manning,305853
Walker,305136
Wrightwood-Ashburn,302285
West Pullman,295327
Greater Grand Crossing,271075
Canaryville,266802
"Whitney M. Young, Jr.",259680
Gage Park,229768
Hall,222347
North Austin,211712
Austin,200107
West Loop,194310
Little Italy,192860
West Englewood,190400
Pullman,185300
Douglass,181105
West Chicago Avenue,169102
Legler Regional,154630
Chicago Bee,151966
Kelly,133055
Brainerd,130953
Jeffery Manor,128846
Sherman Park,127058
Galewood-Mont Clare,100660
Altgeld,68358
